"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","65/1868","187/9416",0.347593582887701,1.75210983751102,5.16782027988818,1.02630314404903e-06,0.000127965505854034,0.000127965505854034,"837/3665/3553/7205/2919/3576/6885/22900/2921/7186/115362/2920/5599/64170/55072/3709/10010/2633/846/84557/6772/10454/3455/81858/11337/4940/4793/8767/5585/330/838/118429/6300/25828/1147/5595/55054/7187/1432/10616/3661/5331/7297/4671/114769/29108/3428/1536/7099/4790/3725/5970/79792/84168/3708/5586/51135/84674/10135/596/9474/841/7188/6347/3326",65
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1868","78/9416",0.435897435897436,2.19722176467358,5.28174734093147,1.4376321355696e-06,0.000127965505854034,0.000127965505854034,"3553/6885/3113/6772/3676/2214/10454/7043/3122/4793/6300/3458/5595/3112/2209/1432/1378/7097/3126/1536/7099/5743/4790/3725/5970/1379/3654/7040/2212/51135/3717/3459/5579/3123",34
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","42/1868","105/9416",0.4,2.01627408993576,5.20942742327774,1.44542575171207e-06,0.000127965505854034,0.000127965505854034,"55367/3553/2919/3576/6885/2921/7186/2920/4055/10454/23643/472/330/51588/1147/1896/3929/10892/7187/29775/10673/128178/1460/1540/7535/6850/5588/10848/7099/5743/4790/4067/5970/10912/8717/3654/51135/596/5579/7188/4791/597",42
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","46/1868","119/9416",0.38655462184874,1.94850017094632,5.17990901085246,1.45415347561403e-06,0.000127965505854034,0.000127965505854034,"843/3553/2919/6885/207/64285/2921/7186/2920/5599/6401/10454/6868/153090/5609/4217/6416/330/6300/3659/1147/5595/7187/836/1432/1540/1906/3627/3600/5743/4790/3725/5970/8986/8717/1388/5296/4314/841/7188/3726/6347/1435/4318/6372/6376",46
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","38/1868","94/9416",0.404255319148936,2.03772381429678,5.03006750171353,3.34903051308129e-06,0.000194789842290412,0.000194789842290412,"132014/6280/3553/2919/3576/6885/2921/7186/2920/5599/5598/4312/727897/29761/6300/6354/1147/3458/5595/225689/7187/84818/836/1432/3727/3627/5743/4790/3725/5970/8717/4314/841/7188/6347/4318/6372/3326",38
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","92/1868","300/9416",0.306666666666667,1.54581013561742,4.77950277040568,3.84887583404819e-06,0.000194789842290412,0.000194789842290412,"9344/10746/3481/3553/6885/207/7186/93589/6789/5599/776/7010/10125/4804/784/2872/3303/7422/51295/5155/5598/8491/1649/6655/1847/5605/10454/7043/7786/3304/3315/23542/5609/27330/4217/5921/6416/3925/6300/7423/51701/1147/5595/4296/5922/2064/2122/836/8074/1432/356/5778/9064/3727/4294/5567/6195/1943/2252/5154/7048/3164/8912/6722/1616/9261/4790/3725/5970/8986/10912/8717/3654/5533/1850/2323/7040/5924/3556/25780/3265/51135/1849/1848/6237/5579/1435/23162/4791/4208/4214/782",92
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","68/1868","205/9416",0.331707317073171,1.67203217214185,4.83945277527632,3.87366163645705e-06,0.000194789842290412,0.000194789842290412,"3665/1871/6885/11317/207/965/3113/7186/5599/915/9861/6772/10454/3122/864/1019/3455/5609/4940/6416/4793/9612/6300/581/5702/5710/1147/3112/5705/930/3134/7187/836/51426/1432/3661/4734/5925/595/7097/3627/7297/3126/11047/6850/2208/6502/1380/4790/3725/894/4067/5970/10912/8717/3654/3683/10018/5296/51135/596/3123/841/567/7188/953/4791/3280",68
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","42/1868","109/9416",0.385321100917431,1.94228238021335,4.92234573884969,4.53357670518146e-06,0.000199477375027984,0.000199477375027984,"4773/3553/50615/3113/5599/915/6772/861/2475/3122/30009/4793/3662/6257/6300/1147/3458/5595/3112/50616/1432/3559/7297/7535/3126/5588/2625/7048/5914/4790/3725/5970/5533/7040/3556/3561/3560/3717/3459/3123/3326/3091",42
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","39/1868","101/9416",0.386138613861386,1.94640320563106,4.7569448048914,9.27922307396657e-06,0.000335041386975475,0.000335041386975475,"3553/3576/207/5599/7422/1958/5333/6772/6401/7043/1286/1019/5054/6300/7423/581/5595/5292/836/4313/1432/5581/5331/595/1284/1906/1536/7048/4790/3725/5970/5296/7040/3265/596/3717/5579/6347/113026",39
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","59/1868","175/9416",0.337142857142857,1.69943101866014,4.64608424396505,9.51822122089417e-06,0.000335041386975475,0.000335041386975475,"6400/10905/29979/3998/133022/201595/7186/57134/5599/56886/81567/56605/7494/3303/51035/1649/27248/91319/23471/26232/3304/80700/56893/5609/4217/23645/30001/3337/823/581/58505/10113/6185/51465/22926/9451/5589/6238/10427/3300/9695/10483/80267/55768/9709/7326/23640/9373/5886/79139/6184/8454/1388/55829/596/51360/5611/29927/3326",59
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","41/1868","112/9416",0.366071428571429,1.84525084123585,4.47653953665984,2.49662470071955e-05,0.000798919904230256,0.000798919904230256,"6885/207/3113/5599/3303/6772/10454/572/7043/3911/3122/23643/3913/3304/3587/4793/330/6300/1147/3458/5595/240/3112/3655/836/1432/5294/7097/7297/3126/7099/4790/5970/3654/7040/51135/596/3717/3459/3123/841",41
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","68/1868","216/9416",0.314814814814815,1.58688238559759,4.34076914403562,2.75361622656385e-05,0.000807727426458729,0.000807727426458729,"4773/3665/3553/2919/3576/6885/207/2921/7186/2920/5599/1548/7494/3303/10010/6648/1649/4312/6401/10454/572/8743/142678/23643/3304/5609/4217/6416/5451/30001/6257/6300/9138/581/1147/5595/22926/9451/3929/7187/836/1432/808/356/3661/5331/7097/29108/1536/7099/4790/3725/4067/5970/3654/3708/5533/5296/3265/51135/4314/596/3717/841/6347/10333/4318/3326",68
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","36/1868","95/9416",0.378947368421053,1.91015440099177,4.43535386174293,3.26739779945688e-05,0.000884710788776016,0.000884710788776016,"3553/2919/3576/8741/523/2921/3113/2920/940/7010/8992/942/7422/4312/7043/3122/526/1493/3458/3112/1514/537/10673/7097/3126/3600/7099/3725/3683/7040/4314/3123/6347/1435/6372/527",36
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","47/1868","137/9416",0.343065693430657,1.7292861720252,4.27750304714113,4.56463671363817e-05,0.00114768008800045,0.00114768008800045,"843/55367/207/6709/1075/7186/5599/3709/1649/5605/8722/572/8743/153090/4217/472/330/823/27113/581/1439/1147/5595/1514/9451/4000/836/8996/356/10039/1616/4790/3725/5970/1520/2021/10912/8717/3708/10018/5296/3002/3265/596/841/84823/597",47
